DATE,AGE_GROUP,CASE_COUNT
2021-05-04,0-17,85744
2021-05-04,18-44,335420
2021-05-04,45-64,340094
2021-05-04,65-74,67809
2021-05-04,75+,54381
2021-05-03,0-17,85603
2021-05-03,18-44,335106
2021-05-03,45-64,339861
2021-05-03,65-74,67762
2021-05-03,75+,54345
2021-05-02,0-17,85405
2021-05-02,18-44,334723
2021-05-02,45-64,339568
2021-05-02,65-74,67714
2021-05-02,75+,54306
2021-05-01,0-17,85158
2021-05-01,18-44,334301
2021-05-01,45-64,339239
2021-05-01,65-74,67658
2021-05-01,75+,54266
2021-04-30,0-17,84856
2021-04-30,18-44,333661
2021-04-30,45-64,338786
2021-04-30,65-74,67594
2021-04-30,75+,54214
2021-04-29,0-17,84566
2021-04-29,18-44,333030
2021-04-29,45-64,338356
2021-04-29,65-74,67533
2021-04-29,75+,54154
2021-04-28,0-17,84310
2021-04-28,18-44,332542
2021-04-28,45-64,337936
2021-04-28,65-74,67458
2021-04-28,75+,54083
2021-04-27,0-17,84097
2021-04-27,18-44,332170
2021-04-27,45-64,337633
2021-04-27,65-74,67421
2021-04-27,75+,54046
2021-04-26,0-17,83812
2021-04-26,18-44,331585
2021-04-26,45-64,337225
2021-04-26,65-74,67363
2021-04-26,75+,53993
2021-04-25,0-17,83532
2021-04-25,18-44,331032
2021-04-25,45-64,336790
2021-04-25,65-74,67300
2021-04-25,75+,53933
2021-04-24,0-17,83200
2021-04-24,18-44,330420
2021-04-24,45-64,336350
2021-04-24,65-74,67224
2021-04-24,75+,53891
2021-04-23,0-17,82914
2021-04-23,18-44,329773
2021-04-23,45-64,335819
2021-04-23,65-74,67135
2021-04-23,75+,53833
2021-04-22,0-17,82562
2021-04-22,18-44,329006
2021-04-22,45-64,335302
2021-04-22,65-74,67043
2021-04-22,75+,53757
2021-04-21,0-17,82137
2021-04-21,18-44,328108
2021-04-21,45-64,334576
2021-04-21,65-74,66933
2021-04-21,75+,53697
2021-04-20,0-17,81845
2021-04-20,18-44,327421
2021-04-20,45-64,334010
2021-04-20,65-74,66864
2021-04-20,75+,53641
2021-04-19,0-17,81384
2021-04-19,18-44,326529
2021-04-19,45-64,333255
2021-04-19,65-74,66757
2021-04-19,75+,53572
2021-04-18,0-17,80912
2021-04-18,18-44,325526
2021-04-18,45-64,332456
2021-04-18,65-74,66654
2021-04-18,75+,53475
2021-04-17,0-17,80470
2021-04-17,18-44,324498
2021-04-17,45-64,331640
2021-04-17,65-74,66524
2021-04-17,75+,53378
2021-04-16,0-17,80109
2021-04-16,18-44,323688
2021-04-16,45-64,331013
2021-04-16,65-74,66428
2021-04-16,75+,53307
2021-04-15,0-17,79616
2021-04-15,18-44,322437
2021-04-15,45-64,330019
2021-04-15,65-74,66275
2021-04-15,75+,53208
2021-04-14,0-17,79216
2021-04-14,18-44,321448
2021-04-14,45-64,329213
2021-04-14,65-74,66160
2021-04-14,75+,53115
2021-04-13,0-17,78950
2021-04-13,18-44,320774
2021-04-13,45-64,328614
2021-04-13,65-74,66053
2021-04-13,75+,53021
2021-04-12,0-17,78651
2021-04-12,18-44,319920
2021-04-12,45-64,327963
2021-04-12,65-74,65966
2021-04-12,75+,52936
2021-04-11,0-17,78166
2021-04-11,18-44,318785
2021-04-11,45-64,327073
2021-04-11,65-74,65825
2021-04-11,75+,52850
2021-04-10,0-17,77747
2021-04-10,18-44,317731
2021-04-10,45-64,326250
2021-04-10,65-74,65702
2021-04-10,75+,52758
2021-04-09,0-17,77218
2021-04-09,18-44,316359
2021-04-09,45-64,325326
2021-04-09,65-74,65551
2021-04-09,75+,52658
2021-04-08,0-17,76629
2021-04-08,18-44,314935
2021-04-08,45-64,324205
2021-04-08,65-74,65384
2021-04-08,75+,52536
2021-04-07,0-17,76096
2021-04-07,18-44,313399
2021-04-07,45-64,322988
2021-04-07,65-74,65207
2021-04-07,75+,52405
2021-04-06,0-17,75703
2021-04-06,18-44,312368
2021-04-06,45-64,322070
2021-04-06,65-74,65079
2021-04-06,75+,52322
2021-04-05,0-17,75232
2021-04-05,18-44,311046
2021-04-05,45-64,320965
2021-04-05,65-74,64908
2021-04-05,75+,52229
2021-04-04,0-17,74798
2021-04-04,18-44,309782
2021-04-04,45-64,320037
2021-04-04,65-74,64755
2021-04-04,75+,52120
2021-04-03,0-17,74363
2021-04-03,18-44,308232
2021-04-03,45-64,318919
2021-04-03,65-74,64587
2021-04-03,75+,52010
2021-04-02,0-17,74002
2021-04-02,18-44,306912
2021-04-02,45-64,317998
2021-04-02,65-74,64430
2021-04-02,75+,51906
2021-04-01,0-17,73526
2021-04-01,18-44,305276
2021-04-01,45-64,316735
2021-04-01,65-74,64230
2021-04-01,75+,51786
2021-03-31,0-17,73042
2021-03-31,18-44,303654
2021-03-31,45-64,315434
2021-03-31,65-74,64008
2021-03-31,75+,51639
2021-03-30,0-17,72624
2021-03-30,18-44,302296
2021-03-30,45-64,314304
2021-03-30,65-74,63859
2021-03-30,75+,51553
2021-03-29,0-17,72400
2021-03-29,18-44,301606
2021-03-29,45-64,313672
2021-03-29,65-74,63751
2021-03-29,75+,51476
2021-03-28,0-17,71683
2021-03-28,18-44,299586
2021-03-28,45-64,311840
2021-03-28,65-74,63460
2021-03-28,75+,51236
2021-03-27,0-17,71120
2021-03-27,18-44,297953
2021-03-27,45-64,310544
2021-03-27,65-74,63282
2021-03-27,75+,51090
2021-03-26,0-17,70586
2021-03-26,18-44,296409
2021-03-26,45-64,309415
2021-03-26,65-74,63127
2021-03-26,75+,50981
2021-03-25,0-17,70131
2021-03-25,18-44,295005
2021-03-25,45-64,308362
2021-03-25,65-74,62943
2021-03-25,75+,50845
2021-03-24,0-17,69637
2021-03-24,18-44,293588
2021-03-24,45-64,307068
2021-03-24,65-74,62735
2021-03-24,75+,50677
2021-03-20,0-17,66748
2021-03-20,18-44,285580
2021-03-20,45-64,300066
2021-03-20,65-74,61673
2021-03-20,75+,49892
2021-03-19,0-17,66386
2021-03-19,18-44,284594
2021-03-19,45-64,299219
2021-03-19,65-74,61528
2021-03-19,75+,49807
2021-03-18,0-17,66206
2021-03-18,18-44,284221
2021-03-18,45-64,298922
2021-03-18,65-74,61483
2021-03-18,75+,49777
2021-03-17,0-17,65983
2021-03-17,18-44,283748
2021-03-17,45-64,298439
2021-03-17,65-74,61418
2021-03-17,75+,49723
2021-03-16,0-17,65598
2021-03-16,18-44,282716
2021-03-16,45-64,297530
2021-03-16,65-74,61286
2021-03-16,75+,49629
2021-03-15,0-17,65127
2021-03-15,18-44,281417
2021-03-15,45-64,296395
2021-03-15,65-74,61102
2021-03-15,75+,49499
2021-03-14,0-17,64570
2021-03-14,18-44,279908
2021-03-14,45-64,294974
2021-03-14,65-74,60877
2021-03-14,75+,49317
2021-03-13,0-17,64225
2021-03-13,18-44,278774
2021-03-13,45-64,294059
2021-03-13,65-74,60710
2021-03-13,75+,49176
2021-03-12,0-17,63930
2021-03-12,18-44,277740
2021-03-12,45-64,293220
2021-03-12,65-74,60564
2021-03-12,75+,49077
2021-03-11,0-17,63403
2021-03-11,18-44,276387
2021-03-11,45-64,292094
2021-03-11,65-74,60342
2021-03-11,75+,48913
2021-03-10,0-17,62949
2021-03-10,18-44,275247
2021-03-10,45-64,290981
2021-03-10,65-74,60133
2021-03-10,75+,48782
2021-03-09,0-17,62612
2021-03-09,18-44,274333
2021-03-09,45-64,290145
2021-03-09,65-74,59980
2021-03-09,75+,48682
2021-03-08,0-17,62039
2021-03-08,18-44,272776
2021-03-08,45-64,288726
2021-03-08,65-74,59758
2021-03-08,75+,48524
2021-03-07,0-17,61767
2021-03-07,18-44,271854
2021-03-07,45-64,287885
2021-03-07,65-74,59616
2021-03-07,75+,48423
2021-03-06,0-17,61268
2021-03-06,18-44,270426
2021-03-06,45-64,286659
2021-03-06,65-74,59398
2021-03-06,75+,48284
2021-03-05,0-17,60733
2021-03-05,18-44,268933
2021-03-05,45-64,285413
2021-03-05,65-74,59162
2021-03-05,75+,48122
2021-03-04,0-17,60194
2021-03-04,18-44,267411
2021-03-04,45-64,284074
2021-03-04,65-74,58895
2021-03-04,75+,47956
2021-03-03,0-17,59670
2021-03-03,18-44,266113
2021-03-03,45-64,282810
2021-03-03,65-74,58656
2021-03-03,75+,47779
2021-03-02,0-17,59214
2021-03-02,18-44,265098
2021-03-02,45-64,281855
2021-03-02,65-74,58478
2021-03-02,75+,47679
2021-03-01,0-17,58739
2021-03-01,18-44,263753
2021-03-01,45-64,280629
2021-03-01,65-74,58266
2021-03-01,75+,47540
2021-02-28,0-17,58278
2021-02-28,18-44,262535
2021-02-28,45-64,279475
2021-02-28,65-74,58058
2021-02-28,75+,47382
2021-02-27,0-17,57745
2021-02-27,18-44,261021
2021-02-27,45-64,278200
2021-02-27,65-74,57809
2021-02-27,75+,47212
2021-02-26,0-17,57244
2021-02-26,18-44,259558
2021-02-26,45-64,276922
2021-02-26,65-74,57546
2021-02-26,75+,47018
2021-02-25,0-17,56775
2021-02-25,18-44,258198
2021-02-25,45-64,275563
2021-02-25,65-74,57325
2021-02-25,75+,46834
2021-02-24,0-17,56231
2021-02-24,18-44,256708
2021-02-24,45-64,274105
2021-02-24,65-74,57043
2021-02-24,75+,46655
2021-02-23,0-17,55883
2021-02-23,18-44,255593
2021-02-23,45-64,273012
2021-02-23,65-74,56847
2021-02-23,75+,46474
2021-02-22,0-17,55402
2021-02-22,18-44,254277
2021-02-22,45-64,271771
2021-02-22,65-74,56615
2021-02-22,75+,46341
2021-02-21,0-17,55049
2021-02-21,18-44,253170
2021-02-21,45-64,270687
2021-02-21,65-74,56395
2021-02-21,75+,46193
2021-02-20,0-17,54773
2021-02-20,18-44,252109
2021-02-20,45-64,269698
2021-02-20,65-74,56209
2021-02-20,75+,46062
2021-02-19,0-17,54294
2021-02-19,18-44,250564
2021-02-19,45-64,268258
2021-02-19,65-74,55910
2021-02-19,75+,45835
2021-02-18,0-17,53778
2021-02-18,18-44,248857
2021-02-18,45-64,266653
2021-02-18,65-74,55602
2021-02-18,75+,45616
2021-02-17,0-17,52947
2021-02-17,18-44,246607
2021-02-17,45-64,264382
2021-02-17,65-74,55180
2021-02-17,75+,45301
2021-02-16,0-17,52681
2021-02-16,18-44,245781
2021-02-16,45-64,263645
2021-02-16,65-74,54993
2021-02-16,75+,45152
2021-02-15,0-17,52257
2021-02-15,18-44,244473
2021-02-15,45-64,262447
2021-02-15,65-74,54769
2021-02-15,75+,44994
2021-02-14,0-17,51835
2021-02-14,18-44,243180
2021-02-14,45-64,261240
2021-02-14,65-74,54516
2021-02-14,75+,44809
2021-02-13,0-17,51357
2021-02-13,18-44,241674
2021-02-13,45-64,259886
2021-02-13,65-74,54238
2021-02-13,75+,44583
2021-02-12,0-17,50783
2021-02-12,18-44,240140
2021-02-12,45-64,258381
2021-02-12,65-74,53934
2021-02-12,75+,44356
2021-02-11,0-17,50290
2021-02-11,18-44,238720
2021-02-11,45-64,256995
2021-02-11,65-74,53613
2021-02-11,75+,44125
2021-02-10,0-17,49708
2021-02-10,18-44,237124
2021-02-10,45-64,255406
2021-02-10,65-74,53254
2021-02-10,75+,43863
2021-02-09,0-17,49446
2021-02-09,18-44,236172
2021-02-09,45-64,254499
2021-02-09,65-74,53059
2021-02-09,75+,43714
2021-02-08,0-17,48869
2021-02-08,18-44,234616
2021-02-08,45-64,252818
2021-02-08,65-74,52728
2021-02-08,75+,43469
2021-02-07,0-17,48312
2021-02-07,18-44,232734
2021-02-07,45-64,251139
2021-02-07,65-74,52401
2021-02-07,75+,43202
2021-02-06,0-17,47781
2021-02-06,18-44,231062
2021-02-06,45-64,249495
2021-02-06,65-74,52071
2021-02-06,75+,42895
2021-02-05,0-17,47242
2021-02-05,18-44,229130
2021-02-05,45-64,247529
2021-02-05,65-74,51700
2021-02-05,75+,42637
2021-02-04,0-17,46986
2021-02-04,18-44,228028
2021-02-04,45-64,246484
2021-02-04,65-74,51459
2021-02-04,75+,42443
2021-02-03,0-17,46689
2021-02-03,18-44,227138
2021-02-03,45-64,245593
2021-02-03,65-74,51278
2021-02-03,75+,42319
2021-02-02,0-17,46263
2021-02-02,18-44,226031
2021-02-02,45-64,244565
2021-02-02,65-74,51075
2021-02-02,75+,42167
2021-02-01,0-17,45828
2021-02-01,18-44,224684
2021-02-01,45-64,243289
2021-02-01,65-74,50798
2021-02-01,75+,41994
2021-01-31,0-17,45292
2021-01-31,18-44,223287
2021-01-31,45-64,241874
2021-01-31,65-74,50505
2021-01-31,75+,41757
2021-01-30,0-17,44670
2021-01-30,18-44,221254
2021-01-30,45-64,240025
2021-01-30,65-74,50147
2021-01-30,75+,41500
2021-01-29,0-17,43926
2021-01-29,18-44,218937
2021-01-29,45-64,237820
2021-01-29,65-74,49726
2021-01-29,75+,41201
2021-01-28,0-17,43274
